15:38:56.182                     epl                               dbgcommand():                                   using log file 'C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\logs\StreamDeck0.log'
15:38:56.182                     StreamDeck                        main():                                         Compiled with Qt 5.15.2 ; SSL: OpenSSL 1.1.1g  21 Apr 2020
15:38:56.184                     StreamDeck                        main():                                         Runtime SSL Supported: 1
15:38:56.184                     StreamDeck                        main():                                         Runtime SSL version used: OpenSSL 1.1.1d  10 Sep 2019
15:38:56.483                     StreamDeck                        ESDCustomPluginCommunication::start():          Using port 28196 to communicate with plugins
15:38:56.492                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading custom plugins...
15:38:56.492                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.axytradingtools.sdPlugin...
15:38:56.493                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.axytradingtools2.sdPlugin...
15:38:56.493                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.barraider.apininja.sdPlugin...
15:38:56.494                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.barraider.speedtest.sdPlugin...
15:38:56.494                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.barraider.spotify.sdPlugin...
15:38:56.496                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.barraider.stockticker.sdPlugin...
15:38:56.497                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.barraider.wintools.sdPlugin...
15:38:56.500                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.elgato.keycreator.sdPlugin...
15:38:56.500                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.elgato.memorygame.sdPlugin...
15:38:56.501                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.elgato.reactiondeck.sdPlugin...
15:38:56.502                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.exension.stocks.sdPlugin...
15:38:56.503                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading gg.datagram.web-requests.sdPlugin...
15:38:56.826                     StreamDeck                        ESDVSDServer::init():                           ### [SERVER] init
15:38:56.826                     StreamDeck                        ESDCUEHub::init():                              ### [CUESDK] init
15:38:56.834                     StreamDeck                        AccountMgr::InitializeAccountMgr():             AccountMgr initialized
15:38:56.835                     StreamDeck                        AccountMgr::ReloadAllAccountsFromPreferences(): Reload all accounts
15:38:56.835                     StreamDeck                        AccountMgr::RecreateServiceInstancesForType():  Recreate service instances for Twitter
15:38:56.835                     StreamDeck                        AccountMgr::RecreateServiceInstancesForType():  Recreate service instances for YouTube
15:38:56.835                     StreamDeck                        AccountMgr::RecreateServiceInstancesForType():  Recreate service instances for Streamlabs
15:38:56.835                     StreamDeck                        AccountMgr::RecreateServiceInstancesForType():  Recreate service instances for Twitch
15:38:56.835                     StreamDeck                        EGCAPILiteDLL::LoadDLL():                       Could not load EGCAPILite.dll
15:38:56.835                     StreamDeck                        EGCAPILiteDLL::LoadDLL():                       Loading EGCAPILite.dll from: C:\Program Files\Elgato\GameCapture\EGCAPILite.dll, result: 0
15:38:56.835                     StreamDeck                        EGCAPILiteDLL::Initialize():                    mInitializeFunc is not set
15:38:56.835                     StreamDeck                        GameCaptureSync::GameCaptureSync():             Unable to initialize Game Capture integration.
15:38:56.835                     StreamDeck                        MainWindow::ReloadProfiles():                   Flattening profiles in C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2
15:38:56.838                     StreamDeck                        MainWindow::ReloadProfiles():                   Loading profiles from C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2
