15:39:21.085                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 02F1454D-2B8E-4081-8B2E-DEEB821CFE8C added to profile 09052463-EC68-4CE1-8F47-7DA8BF4049FE
15:39:21.085                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 09052463-EC68-4CE1-8F47-7DA8BF4049FE added to profile D09BEDDD-FA2E-48F4-BE44-8AEA76E7A018
15:39:21.086                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 6156EB39-4DAE-4E17-AA30-17AC8B56E96F added to profile 1A9EA177-EFB4-48E4-BF6D-E9C60F6C4F3F
15:39:21.086                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid C53D58C1-222C-46FC-AAFB-49A7AA276A09 added to profile 1A9EA177-EFB4-48E4-BF6D-E9C60F6C4F3F
15:39:21.086                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid C7227659-7A73-4BFE-B878-19EE61E36DA9 added to profile 1A9EA177-EFB4-48E4-BF6D-E9C60F6C4F3F
15:39:21.086                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 1A9EA177-EFB4-48E4-BF6D-E9C60F6C4F3F added to profile CE9674B0-4258-4D89-B5CE-6EFAD626E4DA
15:39:21.087                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid D4304FD0-56A6-4594-B118-7D186DEE1038 added to profile BFC8A414-8F0F-4E0A-A9B3-2E80C486350B
15:39:21.087                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 3D6993A1-4105-49ED-B2AE-132A82A3C517 added to profile BFC8A414-8F0F-4E0A-A9B3-2E80C486350B
15:39:21.087                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid D4A42D1C-501E-4AD7-9B5E-B1098C729C89 added to profile BFC8A414-8F0F-4E0A-A9B3-2E80C486350B
15:39:21.087                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid BFC8A414-8F0F-4E0A-A9B3-2E80C486350B added to profile 6DCFB894-9183-41C3-81BE-1E42C1540465
15:39:21.088                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid B8DDAAFD-C010-4634-B9ED-07797CC6E21E added to profile 16BA942F-68CD-4C28-A2D9-136BC447AD14
15:39:21.088                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 66A538CD-6F60-4043-B264-AE4C505CD50B added to profile 16BA942F-68CD-4C28-A2D9-136BC447AD14
15:39:21.088                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 988CAF47-7350-4CA2-A4F0-B79E56AA27D7 added to profile 16BA942F-68CD-4C28-A2D9-136BC447AD14
15:39:21.088                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 16BA942F-68CD-4C28-A2D9-136BC447AD14 added to profile 5BC4742C-9259-43D0-9BA8-554F583A3834
15:39:21.089                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid C8E207F3-03DF-47B7-83C4-D51B55324471 added to profile AE9200CB-80E2-4D00-8D1D-2D0576B47745
15:39:21.089                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 06806815-67D6-4969-AF58-F11FFD3A3C3B added to profile AE9200CB-80E2-4D00-8D1D-2D0576B47745
15:39:21.089                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 06A12F83-0AB1-4656-BD98-DFBFCDDABB53 added to profile AE9200CB-80E2-4D00-8D1D-2D0576B47745
