15:42:28.805                     epl                               dbgcommand():                                   using log file 'C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\logs\StreamDeck0.log'
15:42:28.805                     StreamDeck                        main():                                         Compiled with Qt 5.15.2 ; SSL: OpenSSL 1.1.1g  21 Apr 2020
15:42:28.808                     StreamDeck                        main():                                         Runtime SSL Supported: 1
15:42:28.808                     StreamDeck                        main():                                         Runtime SSL version used: OpenSSL 1.1.1d  10 Sep 2019
15:42:29.101                     StreamDeck                        ESDCustomPluginCommunication::start():          Using port 28196 to communicate with plugins
15:42:29.109                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading custom plugins...
15:42:29.110                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.axytradingtools.sdPlugin...
15:42:29.110                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.axytradingtools2.sdPlugin...
15:42:29.111                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.barraider.apininja.sdPlugin...
15:42:29.112                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.barraider.speedtest.sdPlugin...
15:42:29.112                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.barraider.spotify.sdPlugin...
15:42:29.114                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.barraider.stockticker.sdPlugin...
15:42:29.115                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.barraider.wintools.sdPlugin...
15:42:29.118                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.elgato.keycreator.sdPlugin...
15:42:29.119                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.elgato.memorygame.sdPlugin...
15:42:29.120                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.elgato.reactiondeck.sdPlugin...
15:42:29.120                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.exension.stocks.sdPlugin...
15:42:29.121                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading gg.datagram.web-requests.sdPlugin...
15:42:29.436                     StreamDeck                        ESDVSDServer::init():                           ### [SERVER] init
15:42:29.437                     StreamDeck                        ESDCUEHub::init():                              ### [CUESDK] init
15:42:29.445                     StreamDeck                        AccountMgr::InitializeAccountMgr():             AccountMgr initialized
15:42:29.445                     StreamDeck                        AccountMgr::ReloadAllAccountsFromPreferences(): Reload all accounts
15:42:29.445                     StreamDeck                        AccountMgr::RecreateServiceInstancesForType():  Recreate service instances for Twitter
15:42:29.445                     StreamDeck                        AccountMgr::RecreateServiceInstancesForType():  Recreate service instances for YouTube
15:42:29.445                     StreamDeck                        AccountMgr::RecreateServiceInstancesForType():  Recreate service instances for Streamlabs
15:42:29.445                     StreamDeck                        AccountMgr::RecreateServiceInstancesForType():  Recreate service instances for Twitch
15:42:29.445                     StreamDeck                        EGCAPILiteDLL::LoadDLL():                       Could not load EGCAPILite.dll
15:42:29.446                     StreamDeck                        EGCAPILiteDLL::LoadDLL():                       Loading EGCAPILite.dll from: C:\Program Files\Elgato\GameCapture\EGCAPILite.dll, result: 0
15:42:29.446                     StreamDeck                        EGCAPILiteDLL::Initialize():                    mInitializeFunc is not set
15:42:29.446                     StreamDeck                        GameCaptureSync::GameCaptureSync():             Unable to initialize Game Capture integration.
15:42:29.446                     StreamDeck                        MainWindow::ReloadProfiles():                   Flattening profiles in C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2
