15:37:13.188                     epl                               dbgcommand():                                   using log file 'C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\logs\StreamDeck0.log'
15:37:13.188                     StreamDeck                        main():                                         Compiled with Qt 5.15.2 ; SSL: OpenSSL 1.1.1g  21 Apr 2020
15:37:13.190                     StreamDeck                        main():                                         Runtime SSL Supported: 1
15:37:13.191                     StreamDeck                        main():                                         Runtime SSL version used: OpenSSL 1.1.1d  10 Sep 2019
15:37:13.482                     StreamDeck                        ESDCustomPluginCommunication::start():          Using port 28196 to communicate with plugins
15:37:13.491                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading custom plugins...
15:37:13.491                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.axytradingtools.sdPlugin...
15:37:13.492                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.axytradingtools2.sdPlugin...
15:37:13.492                     StreamDeck                        ESDPluginParser::CreatePluginFromPath():        There is already an action loaded with the UUID com.axytradingtools.lot. The action defined in C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\Plugins\com.axytradingtools2.sdPlugin\manifest.json won't be loaded.
15:37:13.492                     StreamDeck                        ESDPluginParser::CreatePluginFromPath():        There is already an action loaded with the UUID com.axytradingtools.tile. The action defined in C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\Plugins\com.axytradingtools2.sdPlugin\manifest.json won't be loaded.
15:37:13.492                     StreamDeck                        ESDPluginParser::CreatePluginFromPath():        There is already an action loaded with the UUID com.axytradingtools.lotplus. The action defined in C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\Plugins\com.axytradingtools2.sdPlugin\manifest.json won't be loaded.
15:37:13.492                     StreamDeck                        ESDPluginParser::CreatePluginFromPath():        There is already an action loaded with the UUID com.axytradingtools.lotminus. The action defined in C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\Plugins\com.axytradingtools2.sdPlugin\manifest.json won't be loaded.
15:37:13.492                     StreamDeck                        ESDPluginParser::CreatePluginFromPath():        There is already an action loaded with the UUID com.axytradingtools.symbol. The action defined in C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\Plugins\com.axytradingtools2.sdPlugin\manifest.json won't be loaded.
15:37:13.492                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.barraider.apininja.sdPlugin...
15:37:13.493                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.barraider.speedtest.sdPlugin...
15:37:13.494                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.barraider.spotify.sdPlugin...
15:37:13.495                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.barraider.stockticker.sdPlugin...
15:37:13.496                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.barraider.wintools.sdPlugin...
15:37:13.499                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.elgato.keycreator.sdPlugin...
15:37:13.500                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.elgato.memorygame.sdPlugin...
15:37:13.500                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.elgato.reactiondeck.sdPlugin...
15:37:13.501                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.exension.stocks.sdPlugin...
15:37:13.502                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading gg.datagram.web-requests.sdPlugin...
15:37:13.813                     StreamDeck                        ESDVSDServer::init():                           ### [SERVER] init
15:37:13.813                     StreamDeck                        ESDCUEHub::init():                              ### [CUESDK] init
15:37:13.822                     StreamDeck                        AccountMgr::InitializeAccountMgr():             AccountMgr initialized
15:37:13.822                     StreamDeck                        AccountMgr::ReloadAllAccountsFromPreferences(): Reload all accounts
15:37:13.822                     StreamDeck                        AccountMgr::RecreateServiceInstancesForType():  Recreate service instances for Twitter
15:37:13.822                     StreamDeck                        AccountMgr::RecreateServiceInstancesForType():  Recreate service instances for YouTube
15:37:13.822                     StreamDeck                        AccountMgr::RecreateServiceInstancesForType():  Recreate service instances for Streamlabs
15:37:13.822                     StreamDeck                        AccountMgr::RecreateServiceInstancesForType():  Recreate service instances for Twitch
15:37:13.822                     StreamDeck                        EGCAPILiteDLL::LoadDLL():                       Could not load EGCAPILite.dll
15:37:13.822                     StreamDeck                        EGCAPILiteDLL::LoadDLL():                       Loading EGCAPILite.dll from: C:\Program Files\Elgato\GameCapture\EGCAPILite.dll, result: 0
15:37:13.822                     StreamDeck                        EGCAPILiteDLL::Initialize():                    mInitializeFunc is not set
15:37:13.822                     StreamDeck                        GameCaptureSync::GameCaptureSync():             Unable to initialize Game Capture integration.
15:37:13.823                     StreamDeck                        MainWindow::ReloadProfiles():                   Flattening profiles in C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2
15:37:13.825                     StreamDeck                        MainWindow::ReloadProfiles():                   Loading profiles from C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2
15:37:13.825                     StreamDeck                        ESDProfileManager::LoadProfileAtPath():         Loading profile at path C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2\176F9ED3-E56F-4183-8F1E-2385EA69CC67.sdProfile
15:37:13.826                     StreamDeck                        ESDProfileManager::LoadProfileAtPath():         Loading profile at path C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2\1EEBE702-E1AD-4D60-A0B0-618D78DE6E60.sdProfile
15:37:13.826                     StreamDeck                        ESDProfileManager::LoadProfileAtPath():         Loading profile at path C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2\5B5F68A9-79A8-44DC-8CBE-359C64606381.sdProfile
15:37:13.826                     StreamDeck                        ESDProfileManager::LoadProfileAtPath():         Loading profile at path C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2\C170D543-86F3-44B6-92CA-B99BF3186D86.sdProfile
15:37:13.827                     StreamDeck                        ESDProfileManager::LoadProfileAtPath():         Loading profile at path C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2\E03E3D19-1330-4FC6-967C-F8DDE7EB3352.sdProfile
15:37:13.828                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid ABF484EE-0FE5-4FA4-BB2E-A490E55C8540 added to profile 296C3531-BBCB-48A3-8DB0-9DB1C49D5076
15:37:13.829                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 2003F08F-1F0C-4EF8-A1BF-78CF6D05F081 added to profile 7478E3B9-09B0-4663-BDE4-687E14D9C36B
15:37:13.829                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid C74BC9F3-93D9-448B-9A53-03934CD3ED5E added to profile 7478E3B9-09B0-4663-BDE4-687E14D9C36B
15:37:13.829                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 9006A453-863F-4FB9-BABD-5A6E01BA91D8 added to profile 7478E3B9-09B0-4663-BDE4-687E14D9C36B
15:37:13.829                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 7478E3B9-09B0-4663-BDE4-687E14D9C36B added to profile CBD4FE99-18E1-4578-AB27-E673A3396AE9
15:37:13.830                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 497F1AC2-91D4-46BD-956E-E8F925CC12D3 added to profile 09052463-EC68-4CE1-8F47-7DA8BF4049FE
15:37:13.830                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 2DA0BB55-44C3-4A23-B5F6-F18E69B2F7A8 added to profile 09052463-EC68-4CE1-8F47-7DA8BF4049FE
15:37:13.830                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 02F1454D-2B8E-4081-8B2E-DEEB821CFE8C added to profile 09052463-EC68-4CE1-8F47-7DA8BF4049FE
